Date,away,GA,home,GH,Nothing,Overtimes,Notes
Sat Dec 28 2019,Aris,79,Promitheas Patras,95,,,
Sat Dec 28 2019,Kolossos Rodou,61,Rethymno Aegean,72,,,
Sun Dec 29 2019,Panathinaikos OPAP,115,Panionios,74,,,
Sat Jan 4 2020,Peristeri,76,Iraklis B.C.,69,,,
Sat Jan 4 2020,Ionikos Nikaias,68,Lavrio B.C.,82,,,
Sat Jan 4 2020,Kolossos Rodou,67,Panionios,76,,,
Sat Jan 4 2020,Larisa,76,Promitheas Patras,62,,,
Sat Jan 4 2020,Ifaistos Limnou,59,Rethymno Aegean,75,,,
Sun Jan 5 2020,Panathinaikos OPAP,97,AEK Athens,100,,,
Sun Jan 5 2020,Aris,84,P.A.O.K.,101,,,
Sat Jan 11 2020,Iraklis B.C.,63,Aris,69,,,
Sat Jan 11 2020,Panionios,74,Ifaistos Limnou,79,,,
Sat Jan 11 2020,P.A.O.K.,85,Larisa,95,,,
Sat Jan 11 2020,Rethymno Aegean,61,Peristeri,71,,,
Sat Jan 11 2020,AEK Athens,79,Kolossos Rodou,70,,,
Sun Jan 12 2020,Promitheas Patras,73,Ionikos Nikaias,69,,,
Sun Jan 12 2020,Lavrio B.C.,74,Panathinaikos OPAP,105,,,
Sat Jan 18 2020,Ifaistos Limnou,68,AEK Athens,74,,,
Sat Jan 18 2020,Larisa,72,Aris,90,,,
Sat Jan 18 2020,Kolossos Rodou,68,Lavrio B.C.,78,,,
Sat Jan 18 2020,Peristeri,61,Panionios,48,,,
Sat Jan 18 2020,Ionikos Nikaias,80,P.A.O.K.,110,,,
Sat Jan 18 2020,Iraklis B.C.,63,Rethymno Aegean,69,,,
Sun Jan 19 2020,Panathinaikos OPAP,99,Promitheas Patras,76,,,
Sat Jan 25 2020,Lavrio B.C.,65,Ifaistos Limnou,67,,,
Sat Jan 25 2020,Larisa,67,Iraklis B.C.,83,,,
Sat Jan 25 2020,AEK Athens,77,Peristeri,73,,,
Sat Jan 25 2020,Panionios,61,Rethymno Aegean,73,,,
